timestamp,age,gender,city,seniority_level,position,experience,main_technology,main_language,company_size,company_type,company_business_sector,salary_last_year,net_salary
02.12.2019 11:24:53,31.0,Male,Berlin,Middle,Mobile Developer,6,Swift,English,100-1000,Product,Сommerce,70000.0,72000.0
02.12.2019 11:24:54,34.0,Male,Berlin,Senior,Backend Developer,10,Java,English,50-100,Product,Advertising,0.0,87000.0
02.12.2019 11:25:24,33.0,Male,Berlin,Senior,DevOps,12,Kubernetes,English,1000+,Product,Сommerce,84000.0,90000.0
02.12.2019 11:25:36,31.0,Male,Berlin,Senior,Data Scientist,6,Python,English,1000+,Product,Сommerce,76000.0,78000.0
02.12.2019 11:25:49,24.0,Male,Berlin,Middle,Machine Learning Engineer,2,C/C++,English,10-50,Startup,Health,70000.0,70000.0
02.12.2019 11:26:09,28.0,Male,Hamburg,Senior,Backend Developer,7,PHP,English,100-1000,Product,Сommerce,0.0,55000.0
02.12.2019 11:27:04,32.0,Male,Frankfurt,Senior,DevOps,12,Not Relevant,Deutsch,1000+,0,0,0.0,160000.0
02.12.2019 11:27:41,27.0,Male,Berlin,Senior,Data Engineer,5,Python,English,1000+,Product,Fashion,0.0,75000.0
02.12.2019 11:30:24,32.0,Male,Berlin,Senior,DevOps,13,Not Relevant,English,50-100,Product,IoT,72000.0,66000.0
02.12.2019 11:30:34,32.0,Male,Berlin,Senior,DevOps,7,AWS,English,1000+,Product,Catering,72000.0,72000.0
02.12.2019 11:31:32,38.0,Male,Berlin,Senior,Backend Developer,16,Ruby,English,up to 10,Product,Finance / Insurance,75000.0,80000.0
02.12.2019 11:31:55,0.0,Male,Munich,0,Data Scientist,7,Python,English,10-50,Consulting / Agency,Сommerce,99000.0,92000.0
02.12.2019 11:32:46,31.0,Male,Berlin,Senior,QA,9,Java,English,100-1000,Product,Automotive,0.0,71000.0
02.12.2019 11:32:52,31.0,Male,Berlin,Senior,Backend Developer,8,PHP,English,100-1000,Product,Сommerce,60000.0,60000.0
02.12.2019 11:32:59,32.0,Male,Berlin,Senior,Software Architect,13,Java,English,100-1000,Product,Marketing,78600.0,78600.0
02.12.2019 11:36:20,44.0,Male,Berlin,Senior,Backend Developer,20,.NET,Deutsch,50-100,Consulting / Agency,0,60000.0,65000.0
02.12.2019 11:37:44,26.0,Male,Berlin,0,Backend Developer,6,PHP,English,0,Startup,Finance / Insurance,0.0,65000.0
02.12.2019 11:37:53,31.0,Male,Berlin,Senior,Backend Developer,7,PHP,English,10-50,Product,Сommerce,50000.0,60000.0
02.12.2019 11:39:53,36.0,Male,Berlin,Senior,Backend Developer,11,PHP,English,1000+,Product,Сommerce,60000.0,81500.0
02.12.2019 11:41:59,33.0,Male,Berlin,Middle,Backend Developer,4,Java,Deutsch,1000+,Product,0,48000.0,58000.0
02.12.2019 11:44:10,37.0,Male,Berlin,Senior,Data Engineer,16,Scala,English,1000+,Product,Transport,0.0,65000.0
02.12.2019 11:45:24,29.0,Male,Berlin,Senior,Backend Developer,11,Javascript / Typescript,English,up to 10,Startup,0,97000.0,190000.0
02.12.2019 11:45:54,33.0,Male,Berlin,Senior,Backend Developer,9,Java,English,100-1000,Product,0,69000.0,69000.0
02.12.2019 11:46:17,35.0,Male,Frankfurt,Middle,Business Analyst,15,Not Relevant,English,1000+,Product,Finance / Insurance,90000.0,91500.0
02.12.2019 11:46:58,35.0,Male,Cologne,Senior,Backend Developer,4,Java,English,50-100,Startup,0,0.0,67000.0
02.12.2019 11:48:35,31.0,Male,Berlin,Senior,Backend Developer,10,Clojure,English,10-50,Product,0,70000.0,75000.0
02.12.2019 11:49:02,35.0,Male,Berlin,Middle,Data Engineer,10,Java,English,100-1000,Product,Finance / Insurance,65000.0,80000.0
02.12.2019 11:49:03,27.0,Male,Berlin,Senior,Backend Developer,10,PHP,English,50-100,Startup,Сommerce,45000.0,62000.0
02.12.2019 11:50:47,38.0,Female,Berlin,Senior,Manager,10,Javascript / Typescript,English,10-50,Startup,Finance / Insurance,85000.0,85000.0
02.12.2019 11:51:31,31.0,Male,Berlin,Middle,Backend Developer,2,Java,English,1000+,Product,Сommerce,0.0,62000.0
02.12.2019 11:51:56,29.0,Male,Düsseldorf,Senior,Backend Developer,9,Java,English,1000+,Product,Tourism,0.0,75000.0
02.12.2019 11:52:36,30.0,Male,Wolfsburg,Senior,Backend Developer,4,Java,English,50-100,Consulting / Agency,Automotive,0.0,75000.0
02.12.2019 11:53:51,30.0,Male,Berlin,Middle,Backend Developer,3,Ruby,English,100-1000,Startup,Tourism,48000.0,61000.0
02.12.2019 11:54:30,31.0,Male,Berlin,Senior,Fullstack Developer,12,Javascript / Typescript,English,1000+,Product,Finance / Insurance,75000.0,80000.0
02.12.2019 11:57:08,33.0,Male,Cologne,Senior,Backend Developer,10,.NET,Deutsch,10-50,Startup,0,0.0,62000.0
02.12.2019 12:01:48,31.0,Male,Munich,Senior,Frontend Developer,7,Javascript / Typescript,Deutsch,1000+,Consulting / Agency,Finance / Insurance,65200.0,61250.0
02.12.2019 12:02:15,30.0,Male,Munich,Lead,Data Scientist,8,Python,English,10-50,Startup,Сommerce,93600.0,90000.0
02.12.2019 12:02:42,28.0,Male,Berlin,Senior,Data Scientist,4,Python,English,100-1000,Startup,Сommerce,67000.0,75000.0
02.12.2019 12:03:44,0.0,Male,Berlin,Senior,Data Scientist,6,Python,English,1000+,Product,Сommerce,0.0,113000.0
02.12.2019 12:05:28,27.0,Male,Munich,Senior,Mobile Developer,5,Kotlin,English,100-1000,Consulting / Agency,Transport,66000.0,72000.0
02.12.2019 12:07:58,31.0,Female,MA,Senior,"Designer (UI, UX)",10,0,Deutsch,10-50,Product,Health,56000.0,61000.0
02.12.2019 12:08:04,28.0,Male,Berlin,Middle,Machine Learning Engineer,6,Python,English,100-1000,Startup,Manufacture,55000.0,61000.0
02.12.2019 12:08:31,36.0,Female,Munich,Senior,Backend Developer,13,Python,English,50-100,Startup,0,92000.0,84000.0
02.12.2019 12:11:31,28.0,Male,Munich,Senior,Mobile Developer,8,Swift,English,10-50,Startup,Сommerce,0.0,75001.0
02.12.2019 12:11:37,37.0,Male,Berlin,Senior,other,15,Not Relevant,English,1000+,Product,Gaming,55000.0,60000.0
02.12.2019 12:13:02,40.0,Male,Berlin,Senior,Manager,15,Not Relevant,English,100-1000,Product,Finance / Insurance,65000.0,70000.0
02.12.2019 12:14:19,34.0,Male,Berlin,Senior,Support,9,PHP,English,100-1000,Product,Сommerce,53500.0,60000.0
02.12.2019 12:16:09,0.0,Male,Berlin,Senior,Backend Developer,12,Java,English,1000+,Product,0,0.0,218500.0
02.12.2019 12:18:34,27.0,Female,Berlin,Middle,Data Scientist,3,Python,English,100-1000,Startup,Gaming,52000.0,66000.0
02.12.2019 12:23:45,30.0,Male,Munich,Senior,Mobile Developer,8,Swift,English,1000+,Product,Сommerce,0.0,61500.0
02.12.2019 12:24:08,32.0,Male,Berlin,Senior,Backend Developer,11,PHP,English,50-100,Product,Сommerce,60000.0,65000.0
02.12.2019 12:24:55,23.0,Male,Berlin,Middle,Data Scientist,3,Python,English,50-100,Startup,Finance / Insurance,0.0,50000.0
02.12.2019 12:27:11,35.0,Male,Munich,Senior,Embedded Developer,12,C/C++,English,100-1000,Consulting / Agency,Transport,60002.0,91001.0
02.12.2019 12:28:29,30.0,Male,Munich,Middle,DevOps,10,AWS,English,50-100,Product,IT,75400.0,82200.0
02.12.2019 12:28:59,40.0,Male,Munich,Senior,Mobile Developer,12,Swift,English,10-50,Product,Manufacture,0.0,117700.0
02.12.2019 12:31:11,27.0,Male,Munich,Senior,Backend Developer,5,Java,English,100-1000,Consulting / Agency,Сommerce,61000.0,74000.0
02.12.2019 12:39:00,36.0,Male,Berlin,Senior,Backend Developer,14,Java,English,100-1000,Product,Advertising,68000.0,73000.0
02.12.2019 12:39:31,36.0,Male,Berlin,Lead,Manager,15,PHP,English,1000+,Product,Сommerce,0.0,138000.0
02.12.2019 12:40:08,31.0,Male,Berlin,Senior,Fullstack Developer,9,Python,English,10-50,Startup,Сommerce,0.0,64000.0
02.12.2019 12:42:34,26.0,Male,Munich,Middle,QA,3,Ruby,English,50-100,Product,Finance / Insurance,0.0,58000.0
02.12.2019 12:43:59,26.0,Male,Munich,Junior,Fullstack Developer,2,Java,English,100-1000,Product,Scientific Activities,1000.0,60000.0
02.12.2019 12:45:44,32.0,Female,Berlin,Senior,Backend Developer,12,.NET,English,1000+,Product,Finance / Insurance,85000.0,96000.0
02.12.2019 12:53:59,38.0,Male,Berlin,Senior,Backend Developer,18,Not Relevant,English,100-1000,Product,0,80000.0,75000.0
02.12.2019 12:54:44,29.0,Male,Munich,Senior,Backend Developer,10,Ruby,English,100-1000,Product,0,52000.0,55000.0
02.12.2019 12:56:07,30.0,Male,Berlin,Lead,Data Scientist,6,Python,English,1000+,Startup,0,107532.0,115073.0
02.12.2019 12:59:36,26.0,Male,Munich,Middle,QA,6,Python,English,1000+,Product,IT,65000.0,75000.0
02.12.2019 13:02:11,30.0,Male,Munich,Middle,DevOps,10,AWS,English,1000+,Product,Transport,72000.0,80000.0
02.12.2019 13:03:05,32.0,Male,Berlin,Middle,Mobile Developer,7,Swift,English,1000+,0,0,0.0,66000.0
02.12.2019 13:03:53,35.0,Male,Munich,Senior,DevOps,16,Yaml,Deutsch,1000+,Consulting / Agency,Сommerce,90000.0,82001.0
02.12.2019 13:05:07,35.0,Male,Berlin,Senior,Frontend Developer,11,Javascript / Typescript,English,50-100,Product,Сommerce,0.0,72000.0
02.12.2019 13:12:06,38.0,Male,Berlin,Middle,DevOps,7,AWS,English,1000+,Startup,Automotive,66000.0,67000.0
02.12.2019 13:13:53,36.0,Male,Munich,Senior,Backend Developer,14,PHP,Deutsch,100-1000,Product,Finance / Insurance,65000.0,70000.0
02.12.2019 13:14:01,0.0,Female,Munich,Middle,QA,5,Java,English,1000+,Product,Finance / Insurance,52000.0,62000.0
02.12.2019 13:16:12,30.0,Male,Berlin,Senior,QA,9,Java,English,100-1000,Product,Marketing,67500.0,67500.0
02.12.2019 13:21:36,33.0,Male,Berlin,Senior,QA,8,Java,English,100-1000,Startup,Finance / Insurance,65000.0,75000.0
02.12.2019 13:23:36,31.0,Male,Frankfurt,Middle,System Administrator,10,"Linux-Stack, Networking",English+Deutsch,10-50,Consulting / Agency,Finance / Insurance,66000.0,66800.0
02.12.2019 13:27:02,37.0,Male,Berlin,Lead,Backend Developer,12,Java,English,1000+,Product,Fashion,82160.0,109810.0
02.12.2019 13:30:29,0.0,Female,Berlin,Middle,Product Manager,3,0,English,50-100,Startup,0,0.0,60000.0
02.12.2019 13:33:23,27.0,Male,Berlin,Middle,Manager,2,0,English,100-1000,Product,Education,36000.0,52000.0
02.12.2019 13:33:33,36.0,Male,Berlin,Middle,Support,19,Azure,English,100-1000,Startup,SEO,0.0,36000.0
02.12.2019 13:34:49,39.0,Female,Hamburg,Middle,Backend Developer,2,Ruby,Deutsch,100-1000,Product,Finance / Insurance,43000.0,55000.0
02.12.2019 13:37:05,36.0,Male,Berlin,Senior,Manager,14,Python,English,10-50,0,Сommerce,92000.0,95000.0
02.12.2019 13:37:07,33.0,Male,Berlin,Senior,Backend Developer,10,.NET,English,10-50,Product,Сommerce,55000.0,60000.0
02.12.2019 13:41:41,30.0,Male,Berlin,Middle,Frontend Developer,7,Javascript / Typescript,English,100-1000,Product,0,55000.0,56500.0
02.12.2019 13:46:31,32.0,Male,Berlin,Senior,Backend Developer,12,PHP,English,50-100,Product,Сommerce,60000.0,68000.0
02.12.2019 13:50:08,0.0,Male,Berlin,Middle,Backend Developer,3,Elixir,English,10-50,Consulting / Agency,Сonstruction,146000.0,74000.0
02.12.2019 13:50:39,43.0,Male,Berlin,Senior,QA,8,Not Relevant,English,10-50,Startup,Education,0.0,80000.0
02.12.2019 13:51:12,29.0,Male,Berlin,Senior,Backend Developer,7,PHP,English,1000+,Product,Transport,63000.0,69000.0
02.12.2019 13:51:36,0.0,Male,Hamburg,Senior,SAP Consultant,20,Not Relevant,Deutsch,1000+,Consulting / Agency,0,0.0,80000.0
02.12.2019 13:52:27,29.0,Male,Berlin,0,QA,9,Python,English,50-100,Startup,0,55000.0,66000.0
02.12.2019 13:53:04,0.0,Male,Munich,Middle,Backend Developer,6,Java,English,100-1000,Product,Finance / Insurance,0.0,61000.0
02.12.2019 13:56:29,40.0,Male,Berlin,Senior,SRE,20,Multiple,English,100-1000,Product,Advertising,0.0,70000.0
02.12.2019 13:59:02,33.0,Male,Leipzig,Senior,Mobile Developer,13,Kotlin,English,100-1000,Consulting / Agency,IT,52000.0,58000.0
02.12.2019 14:04:57,0.0,Male,Berlin,Senior,Mobile Developer,7,Kotlin,English,1000+,Product,Сommerce,60000.0,68000.0
02.12.2019 14:11:51,37.0,Male,Berlin,Senior,Manager,14,Objective-C,Russian,100-1000,Product,Сommerce,82000.0,83800.0
02.12.2019 14:16:47,36.0,Male,Berlin,Senior,Software Engineer,11,Python,Deutsch,100-1000,Consulting / Agency,IT,64000.0,67000.0
02.12.2019 14:21:39,39.0,Male,Berlin,Senior,Backend Developer,16,Java,English,100-1000,Startup,Transport,63600.0,82000.0
02.12.2019 14:23:35,27.0,Female,Berlin,Middle,Data Scientist,2,Python,English,50-100,Startup,Сommerce,61000.0,61500.0
02.12.2019 14:25:37,46.0,Male,Berlin,Middle,System Administrator,7,"Microsoft, Vmware",Deutsch,50-100,Consulting / Agency,Design,87000.0,45000.0
02.12.2019 14:27:33,46.0,Male,Berlin,Junior,DevOps,0,Kubernetes,Deutsch,50-100,Product,Finance / Insurance,0.0,55000.0
02.12.2019 14:29:11,31.0,Male,Berlin,Lead,"CTO (CEO, CFO)",12,Java,English,1000+,Product,Сommerce,0.0,211000.0
02.12.2019 14:34:27,47.0,Male,Berlin,Senior,Embedded Developer,20,C/C++,English,1000+,Bodyshop / Outsource,Manufacture,65000.0,65000.0
02.12.2019 14:35:46,40.0,Male,Berlin,Senior,Software Architect,18,Not Relevant,English,1000+,Product,Сommerce,86900.0,101500.0
02.12.2019 14:35:55,37.0,Male,Berlin,Senior,Frontend Developer,10,Javascript / Typescript,English,100-1000,Product,Сommerce,68000.0,68500.0
02.12.2019 14:40:45,36.0,Male,Berlin,Middle,DevOps,10,AWS,English,50-100,Product,Сommerce,0.0,65000.0
02.12.2019 14:41:29,44.0,Male,Berlin,Senior,Data Engineer,25,Python,English,100-1000,Product,Transport,94000.0,82000.0
02.12.2019 14:41:59,37.0,Female,Berlin,Middle,Backend Developer,10,C/C++,English,100-1000,Product,Сommerce,0.0,57000.0
02.12.2019 14:43:33,30.0,Female,Berlin,Middle,Backend Developer,4,Python,English,50-100,Product,0,47250.0,54000.0
02.12.2019 14:44:36,33.0,Male,Berlin,Senior,QA,8,Javascript / Typescript,English,1000+,Product,Manufacture,57000.0,63000.0
02.12.2019 14:46:50,35.0,Male,Munich,Lead,Software Architect,15,Google Cloud,Deutsch,100-1000,Consulting / Agency,Finance / Insurance,110000.0,200000.0
02.12.2019 14:47:18,25.0,Male,Berlin,Middle,Business Analyst,4,Python,English,100-1000,Product,Finance / Insurance,120000.0,60000.0
02.12.2019 14:55:58,25.0,Male,Munich,Senior,Frontend Developer,4,Javascript / Typescript,English,1000+,Product,0,57000.0,85000.0
02.12.2019 15:08:55,32.0,Male,Berlin,Senior,Backend Developer,11,Python,English,1000+,Product,0,60000.0,70000.0
02.12.2019 15:10:43,32.0,Male,Munich,Senior,DevOps,14,Google Cloud,English,1000+,Product,Finance / Insurance,90000.0,108000.0
02.12.2019 15:11:20,42.0,Male,Munich,Senior,Software Architect,20,Not Relevant,Deutsch,100-1000,Product,Transport,119000.0,115000.0
02.12.2019 15:12:44,42.0,Female,Munich,Senior,Business Analyst,15,Not Relevant,Deutsch,1000+,Bodyshop / Outsource,Software Development,72000.0,76000.0
02.12.2019 15:12:51,34.0,Female,Berlin,Senior,"Designer (UI, UX)",8,Not Relevant,English,0,Startup,Сommerce,0.0,57230.0
02.12.2019 15:14:20,30.0,Male,Berlin,Middle,Backend Developer,10,Kotlin,English,100-1000,Product,Сommerce,59000.0,73000.0
02.12.2019 15:15:03,45.0,Female,Munich,Junior,Frontend Developer,2,Java,Deutsch,10-50,Consulting / Agency,Justice,32002.0,36001.0
02.12.2019 15:17:44,35.0,Male,Frankfurt,Middle,QA,9,Not Relevant,English,100-1000,Bodyshop / Outsource,Manufacture,0.0,60500.0
02.12.2019 15:18:34,42.0,Male,Munich,Middle,Fullstack Developer,16,Java,Deutsch,50-100,Consulting / Agency,Logistics,0.0,64000.0
02.12.2019 15:18:41,40.0,Male,Berlin,Senior,Backend Developer,18,Python,English,1000+,Product,Сommerce,85000.0,101000.0
02.12.2019 15:19:47,34.0,Male,Munich,Senior,QA,12,0,Deutsch,1000+,Product,Entertainment,72000.0,69000.0
02.12.2019 15:20:58,30.0,Female,Munich,Senior,QA,6,Java,Deutsch,50-100,Consulting / Agency,Automotive,53000.0,56000.0
02.12.2019 15:22:56,0.0,Male,Berlin,Middle,Backend Developer,13,Javascript / Typescript,English,1000+,Product,IT,73500.0,73500.0
02.12.2019 15:24:45,32.0,Female,Berlin,Middle,Frontend Developer,12,Javascript / Typescript,English,1000+,Product,Software Development,56000.0,63500.0
02.12.2019 15:24:46,31.0,Male,Berlin,Senior,Fullstack Developer,10,Java,English,up to 10,Startup,0,60000.0,65000.0
02.12.2019 15:25:09,30.0,Male,Berlin,Senior,Data Engineer,8,Python,English,100-1000,Product,Logistics,72000.0,81000.0
02.12.2019 15:26:28,45.0,Male,Munich,Senior,QA,12,Java,Deutsch,100-1000,Product,Сommerce,87000.0,79000.0
02.12.2019 15:28:04,33.0,Male,Munich,Senior,Backend Developer,7,PHP,English,50-100,Product,Finance / Insurance,57200.0,65000.0
02.12.2019 15:29:03,38.0,Male,Berlin,Senior,Backend Developer,6,Java,English,1000+,Product,Сommerce,0.0,66000.0
02.12.2019 15:33:10,29.0,Male,Munich,Senior,QA,6,Javascript / Typescript,English,100-1000,Product,Сommerce,0.0,60000.0
02.12.2019 15:33:43,33.0,Male,Berlin,Senior,Embedded Developer,9,C/C++,English,100-1000,Product,Automotive,73200.0,85400.0
02.12.2019 15:34:33,34.0,Male,Munich,Senior,Backend Developer,10,PHP,English,up to 10,Consulting / Agency,0,90000.0,120000.01
02.12.2019 15:40:21,33.0,Male,Berlin,Senior,Software Architect,12,Go,English,100-1000,Product,Transport,115000.0,157000.0
02.12.2019 15:44:50,36.0,Male,Berlin,Senior,Fullstack Developer,15,Javascript / Typescript,English,100-1000,Product,Finance / Insurance,58000.0,70000.0
02.12.2019 15:43:54,31.0,Female,Munich,Junior,Fullstack Developer,4,Java,Deutsch,100-1000,Product,Finance / Insurance,57000.0,60060.0
02.12.2019 15:44:10,38.0,Male,Berlin,Senior,Manager,9,Not Relevant,English,1000+,Product,Сommerce,110000.0,170000.0
02.12.2019 15:44:44,24.0,Female,Munich,Junior,Backend Developer,1,C/C++,English,1000+,Product,Software Development,0.0,99000.0
02.12.2019 15:45:22,40.0,Male,Frankfurt,Senior,SAP Consultant,14,Not Relevant,English,1000+,Product,Health,160000.0,175000.0
02.12.2019 15:49:42,37.0,Male,Munich,Senior,Fullstack Developer,11,PHP,Deutsch,100-1000,Product,Telecom,66000.0,68500.0
02.12.2019 15:49:47,25.0,Male,Frankfurt,Senior,Backend Developer,6,Java,English,100-1000,Product,Finance / Insurance,0.0,65001.0
02.12.2019 15:50:29,33.0,Male,Berlin,Senior,Mobile Developer,10,Kotlin,English,1000+,Product,Media,72000.0,80000.0
02.12.2019 15:50:47,32.0,Female,Nuremberg,Senior,QA,8,Java,English,100-1000,Product,Сommerce,44000.0,50000.0
02.12.2019 15:54:07,43.0,Male,Frankfurt,Senior,Backend Developer,10,SAP / ABAP,Deutsch,1000+,Product,Manufacture,0.0,85000.0
02.12.2019 15:56:45,34.0,Male,Cologne,Middle,QA,10,Java,Deutsch,up to 10,Consulting / Agency,IT,70000.0,61800.0
02.12.2019 15:57:09,28.0,Male,Berlin,Senior,Backend Developer,7,Java,English,50-100,Startup,Catering,65000.0,75000.0
02.12.2019 15:58:52,32.0,Male,Munich,Senior,DevOps,9,AWS,English,1000+,Product,Software Development,0.0,99000.0
02.12.2019 15:59:24,29.0,Male,Krakow,Senior,QA,7,Java,English,100-1000,Product,Gambling,33000.0,45000.0
02.12.2019 16:03:59,25.0,Female,Munich,Junior,Frontend Developer,2,Javascript / Typescript,Deutsch,50-100,Consulting / Agency,Media,0.0,42000.0
02.12.2019 16:04:46,26.0,Male,Munich,Middle,Backend Developer,5,Java,English,0,Product,Finance / Insurance,61000.0,62000.0
02.12.2019 16:05:00,44.0,Male,Munich,Middle,Frontend Developer,5,Javascript / Typescript,Deutsch,100-1000,Product,Finance / Insurance,56000.0,62000.0
02.12.2019 16:05:20,29.0,Male,Berlin,0,DevOps,10,0,English,100-1000,Startup,0,0.0,70000.0
02.12.2019 16:06:43,28.0,Male,Berlin,Senior,Backend Developer,7,Java,English,50-100,Startup,Catering,60000.0,70000.0
02.12.2019 16:08:28,45.0,Female,Frankfurt,Middle,Database Developer (DBA),2,SQL,Deutsch,50-100,Product,Finance / Insurance,59000.0,64000.0
02.12.2019 16:11:06,39.0,Male,Munich,Senior,other,15,.NET,Deutsch,10-50,Product,Сonstruction,61050.0,57275.0
02.12.2019 16:18:06,36.0,Male,Berlin,Senior,Manager,13,Java,English,1000+,Product,Сommerce,70000.0,80000.0
02.12.2019 16:20:54,32.0,Male,Berlin,Middle,Mobile Developer,5,Swift,English,100-1000,Product,Сommerce,56400.0,66000.0
02.12.2019 16:22:39,38.0,Male,Munich,Senior,Software Architect,17,C/C++,English,1000+,Product,Software Development,157000.0,175000.0
02.12.2019 16:23:24,42.0,Female,Munich,Middle,Product Manager,10,Not Relevant,English,50-100,Product,Finance / Insurance,0.0,72700.0
02.12.2019 16:23:37,0.0,Male,Prague,Senior,DevOps,11,Python,English,1000+,Product,0,0.0,33200.0
02.12.2019 16:25:53,32.0,Male,Munich,Middle,Backend Developer,8,Java,English,1000+,Product,Media,66000.0,68000.0
02.12.2019 16:35:02,33.0,Male,Munich,Senior,Fullstack Developer,8,.NET,English,100-1000,Product,Transport,62000.0,63000.0
02.12.2019 16:37:57,34.0,Male,Cologne,Senior,Manager,15,Not Relevant,English,1000+,Consulting / Agency,IT,49000.0,70000.0
02.12.2019 16:38:25,35.0,Male,Munich,Senior,Software Architect,15,AWS,Russian,1000+,Product,0,0.0,175000.0
02.12.2019 16:38:56,35.0,Male,Frankfurt,Senior,Backend Developer,16,PHP,English,50-100,Product,Finance / Insurance,55000.0,55000.0
02.12.2019 16:39:11,24.0,Male,Frankfurt,Junior,DevOps,1,AWS,Deutsch,50-100,Consulting / Agency,Сommerce,40000.0,45000.0
02.12.2019 16:40:52,48.0,Female,Munich,Senior,Manager,11,Not Relevant,English,100-1000,Product,Tourism,0.0,75000.0
02.12.2019 16:41:25,31.0,Male,Wroclaw,Senior,Backend Developer,10,Ruby,English,50-100,Consulting / Agency,0,0.0,47500.0
02.12.2019 16:43:19,40.0,Female,Munich,Senior,SAP Consultant,9,Not Relevant,English,1000+,Product,Manufacture,87000.0,89000.0
02.12.2019 16:45:22,29.0,Male,Cologne,Senior,Fullstack Developer,4,.NET,Deutsch,1000+,Product,Manufacture,45000.0,65000.0
02.12.2019 16:47:18,38.0,Male,Munich,Lead,Fullstack Developer,17,Javascript / Typescript,English,100-1000,Product,0,0.0,114000.0
02.12.2019 16:47:47,36.0,Male,Stuttgart,Senior,Mobile Developer,16,Javascript / Typescript,English,100-1000,Product,Сommerce,60000.0,64800.0
02.12.2019 16:52:20,0.0,Male,Munich,0,Manager,10,Not Relevant,Deutsch,1000+,Product,0,132500.0,110000.0
02.12.2019 16:53:56,34.0,Male,Munich,Junior,Backend Developer,3,Java,Deutsch,100-1000,Product,0,0.0,48000.0
02.12.2019 17:27:05,32.0,Male,Berlin,Senior,Backend Developer,12,Ruby,Russian,100-1000,Product,Finance / Insurance,55000.0,65000.0
02.12.2019 17:30:59,29.0,Male,Munich,Lead,DevOps,10,AWS,English,1000+,Product,0,75000.0,100010.0
02.12.2019 17:32:16,47.0,Male,London,Middle,Data Engineer,22,Google Cloud,English,100-1000,Product,Publishing,100002.0,100001.0
02.12.2019 17:32:27,36.0,Male,Munich,Middle,Backend Developer,10,PHP,English,50-100,Product,0,0.0,75000.0
02.12.2019 17:35:43,32.0,Female,Frankfurt,Senior,other,10,Not Relevant,English,100-1000,Consulting / Agency,Software Development,136000.0,136000.0
02.12.2019 17:36:37,34.0,Male,Karlsruhe,Senior,Fullstack Developer,12,Javascript / Typescript,English,100-1000,Product,Finance / Insurance,74000.0,75000.0
02.12.2019 17:40:40,29.0,Female,Munich,Middle,Data Scientist,4,R,Deutsch,100-1000,Product,Сommerce,70000.0,67000.0
02.12.2019 17:41:24,31.0,Male,Munich,Senior,Backend Developer,9,Java,English,10-50,Startup,0,75000.0,75000.0
02.12.2019 17:41:30,41.0,Female,Munich,Middle,QA,9,Java,Deutsch,50-100,Product,Manufacture,39002.0,46001.0
02.12.2019 17:44:10,35.0,Male,Munich,Senior,Software Architect,6,.NET,Deutsch,100-1000,Consulting / Agency,Manufacture,0.0,85000.0
02.12.2019 17:47:50,37.0,Male,Munich,Senior,Backend Developer,14,C/C++,English,100-1000,Product,Finance / Insurance,0.0,75000.0
